surface_id	fields
SURF-CAW2026R00724	corpus_disposition
SURF-CAW2026R00725	corpus_disposition
SURF-CAW2026R00728	corpus_disposition
SURF-CAW2026R00732	corpus_disposition
SURF-CAW2026R00733	corpus_disposition
SURF-CAW2026R00736	corpus_disposition
SURF-CAW2026R00738	corpus_disposition
SURF-CAW2026R00739	corpus_disposition
SURF-CAW2026R00746	corpus_disposition
SURF-CAW2026R00747	corpus_disposition
SURF-CAW2026R00750	corpus_disposition
SURF-CAW2026R00754	corpus_disposition
SURF-CAW2026R00759	corpus_disposition
SURF-CAW2026R00764	corpus_disposition
SURF-CAW2026R00774	corpus_disposition
SURF-CAW2026R00776	corpus_disposition
SURF-CAW2026R00780	corpus_disposition
SURF-CAW2026R00788	corpus_disposition
SURF-CAW2026R00789	corpus_disposition
SURF-CAW2026R00790	corpus_disposition
SURF-CAW2026R00807	corpus_disposition
SURF-CAW2026R00808	corpus_disposition
SURF-CAW2026R00809	corpus_disposition
SURF-CAW2026R00810	corpus_disposition
SURF-CAW2026R00811	corpus_disposition
SURF-CAW2026R00812	corpus_disposition
SURF-CAW2026R00813	corpus_disposition
SURF-CAW2026R00814	corpus_disposition
SURF-CAW2026R00815	corpus_disposition
SURF-CAW2026R00816	corpus_disposition
SURF-CAW2026R00817	corpus_disposition
SURF-CAW2026R00818	corpus_disposition
SURF-CAW2026R00819	corpus_disposition
SURF-CAW2026R00820	corpus_disposition
SURF-CAW2026R00829	corpus_disposition
SURF-CAW2026R00834	corpus_disposition
SURF-CAW2026R00837	corpus_disposition
SURF-CAW2026R00838	corpus_disposition
SURF-CAW2026R00839	corpus_disposition
SURF-CAW2026R00840	corpus_disposition
SURF-CAW2026R00841	corpus_disposition
SURF-CAW2026R00842	corpus_disposition
SURF-CAW2026R00843	corpus_disposition
SURF-CAW2026R00844	corpus_disposition
SURF-CAW2026R00845	corpus_disposition
SURF-CAW2026R00846	corpus_disposition
SURF-CAW2026R00847	corpus_disposition
SURF-CAW2026R00848	corpus_disposition
SURF-CAW2026R00849	corpus_disposition
SURF-CAW2026R00850	corpus_disposition
SURF-CAW2026R00851	corpus_disposition
SURF-CAW2026R00852	corpus_disposition
SURF-CAW2026R00853	corpus_disposition
SURF-CAW2026R00854	corpus_disposition
SURF-CAW2026R00855	corpus_disposition
SURF-CAW2026R00856	corpus_disposition
SURF-CAW2026R00857	corpus_disposition
SURF-CAW2026R00858	corpus_disposition
SURF-CAW2026R00859	corpus_disposition
SURF-CAW2026R00860	corpus_disposition
SURF-CAW2026R00861	corpus_disposition
SURF-CAW2026R00862	corpus_disposition
SURF-CAW2026R00863	corpus_disposition
SURF-CAW2026R00864	corpus_disposition
SURF-CAW2026R00865	corpus_disposition
SURF-CAW2026R00866	corpus_disposition
SURF-CAW2026R00867	corpus_disposition
SURF-CAW2026R00868	corpus_disposition
SURF-CAW2026R00869	corpus_disposition
SURF-CAW2026R00870	corpus_disposition
SURF-CAW2026R00878	corpus_disposition
SURF-CAW2026R00879	corpus_disposition
SURF-CAW2026R00880	corpus_disposition
SURF-CAW2026R00881	corpus_disposition
SURF-CAW2026R00888	corpus_disposition
SURF-CAW2026R00889	corpus_disposition
SURF-CAW2026R00890	corpus_disposition
SURF-CAW2026R00891	corpus_disposition
SURF-CAW2026R00892	corpus_disposition
SURF-CAW2026R00894	corpus_disposition
SURF-CAW2026R00895	corpus_disposition
SURF-CAW2026R00899	corpus_disposition
SURF-CAW2026R00900	corpus_disposition
SURF-CAW2026R00901	corpus_disposition
SURF-CAW2026R00902	corpus_disposition
SURF-CAW2026R00903	corpus_disposition
SURF-CAW2026R00904	corpus_disposition
SURF-CAW2026R00905	corpus_disposition
SURF-CAW2026R00918	corpus_disposition
SURF-CAW2026R00921	corpus_disposition
SURF-CAW2026R00924	corpus_disposition
SURF-CAW2026R00931	corpus_disposition
SURF-CAW2026R00932	corpus_disposition
SURF-CAW2026R00933	corpus_disposition
SURF-CAW2026R00936	corpus_disposition
SURF-CAW2026R00937	corpus_disposition
SURF-CAW2026R00938	corpus_disposition
SURF-CAW2026R00939	corpus_disposition
SURF-CAW2026R00940	corpus_disposition
SURF-CAW2026R00941	corpus_disposition
SURF-CAW2026R00942	corpus_disposition
SURF-CAW2026R00943	corpus_disposition
SURF-CAW2026R00944	corpus_disposition
SURF-CAW2026R00945	corpus_disposition
SURF-CAW2026R00946	corpus_disposition
SURF-CAW2026R00947	corpus_disposition
SURF-CAW2026R00948	corpus_disposition
SURF-CAW2026R00949	corpus_disposition
SURF-CAW2026R00950	corpus_disposition
SURF-CAW2026R00951	corpus_disposition
SURF-CAW2026R00952	corpus_disposition
SURF-CAW2026R00953	corpus_disposition
SURF-CAW2026R00954	corpus_disposition
SURF-CAW2026R00955	corpus_disposition
SURF-CAW2026R00956	corpus_disposition
SURF-CAW2026R00957	corpus_disposition
SURF-CAW2026R00958	corpus_disposition
SURF-CAW2026R00959	corpus_disposition
SURF-CAW2026R00960	corpus_disposition
SURF-CAW2026R00961	corpus_disposition
SURF-CAW2026R00962	corpus_disposition
SURF-CAW2026R00963	corpus_disposition
SURF-CAW2026R00964	corpus_disposition
SURF-CAW2026R00965	corpus_disposition
SURF-CAW2026R00969	corpus_disposition
SURF-CAW2026R00978	corpus_disposition
SURF-CAW2026R00979	corpus_disposition
SURF-CAW2026R00980	corpus_disposition
SURF-CAW2026R00981	corpus_disposition
SURF-CAW2026R00982	corpus_disposition
SURF-CAW2026R00983	corpus_disposition
SURF-CAW2026R00986	corpus_disposition
SURF-CAW2026R00987	corpus_disposition
SURF-CAW2026R00988	corpus_disposition
SURF-CAW2026R00990	corpus_disposition
SURF-CAW2026R00991	corpus_disposition
SURF-CAW2026R00992	corpus_disposition
SURF-CAW2026R00993	corpus_disposition
SURF-CAW2026R01049	corpus_disposition
SURF-CAW2026R01050	corpus_disposition
SURF-CAW2026R01051	corpus_disposition
SURF-CAW2026R01052	corpus_disposition
SURF-CAW2026R01053	corpus_disposition
SURF-CAW2026R01055	corpus_disposition
SURF-CAW2026R01056	corpus_disposition
SURF-CAW2026R01057	corpus_disposition
SURF-CAW2026R01068	corpus_disposition
SURF-CAW2026R01070	corpus_disposition
SURF-CAW2026R01075	corpus_disposition
SURF-CAW2026R01076	corpus_disposition
SURF-CAW2026R01077	corpus_disposition
SURF-CAW2026R01078	corpus_disposition
SURF-CAW2026R01079	corpus_disposition
SURF-CAW2026R01080	corpus_disposition
SURF-CAW2026R01081	corpus_disposition
SURF-CAW2026R01084	corpus_disposition
SURF-CAW2026R01085	corpus_disposition
SURF-CAW2026R01092	corpus_disposition
SURF-CAW2026R01094	corpus_disposition
SURF-CAW2026R01099	corpus_disposition
SURF-CAW2026R01100	corpus_disposition
SURF-CAW2026R01109	corpus_disposition
SURF-CAW2026R01111	corpus_disposition
SURF-CAW2026R01113	corpus_disposition
SURF-CAW2026R01115	corpus_disposition
SURF-CAW2026R01116	corpus_disposition
SURF-CAW2026R01119	corpus_disposition
SURF-CAW2026R01121	corpus_disposition
SURF-CAW2026R01124	corpus_disposition
SURF-CAW2026R01125	corpus_disposition
SURF-CAW2026R01129	corpus_disposition
SURF-CAW2026R01136	corpus_disposition
SURF-CAW2026R01137	corpus_disposition
SURF-CAW2026R01140	corpus_disposition
SURF-CAW2026R01141	corpus_disposition
SURF-CAW2026R01146	corpus_disposition
SURF-CAW2026R01147	corpus_disposition
SURF-CAW2026R01148	corpus_disposition
SURF-CAW2026R01153	corpus_disposition
SURF-CAW2026R01156	corpus_disposition
SURF-CAW2026R01179	corpus_disposition
SURF-CAW2026R01184	corpus_disposition
SURF-CAW2026R01186	corpus_disposition
SURF-CAW2026R01193	corpus_disposition
SURF-CAW2026R01197	corpus_disposition
SURF-CAW2026R01199	corpus_disposition
SURF-CAW2026R01201	corpus_disposition
SURF-CAW2026R01204	corpus_disposition
SURF-CAW2026R01205	corpus_disposition
SURF-CAW2026R01208	corpus_disposition
SURF-CAW2026R01210	corpus_disposition
SURF-CAW2026R01229	corpus_disposition
SURF-CAW2026R01235	corpus_disposition
SURF-CAW2026R01236	corpus_disposition
SURF-CAW2026R01249	corpus_disposition
SURF-CAW2026R01250	corpus_disposition
SURF-CAW2026R01255	corpus_disposition
SURF-CAW2026R01269	corpus_disposition
SURF-CAW2026R01301	corpus_disposition
SURF-CAW2026R01303	corpus_disposition
SURF-CAW2026R01304	corpus_disposition
SURF-CAW2026R01307	corpus_disposition
SURF-CAW2026R01308	corpus_disposition
SURF-CAW2026R01309	corpus_disposition
SURF-CAW2026R01310	corpus_disposition
SURF-CAW2026R01311	corpus_disposition
SURF-CAW2026R01312	corpus_disposition
SURF-CAW2026R01313	corpus_disposition
SURF-CAW2026R01314	corpus_disposition
SURF-CAW2026R01315	corpus_disposition
SURF-CAW2026R01320	corpus_disposition
SURF-CAW2026R01355	corpus_disposition
SURF-CAW2026R01356	corpus_disposition
SURF-CAW2026R01359	corpus_disposition
SURF-CAW2026R01362	corpus_disposition
SURF-CAW2026R01363	corpus_disposition
SURF-CAW2026R01364	corpus_disposition
SURF-CAW2026R01365	corpus_disposition
SURF-CAW2026R01366	corpus_disposition
SURF-CAW2026R01372	corpus_disposition
SURF-CAW2026R01373	corpus_disposition
SURF-CAW2026R01374	corpus_disposition
SURF-CAW2026R01375	corpus_disposition
SURF-CAW2026R01376	corpus_disposition
SURF-CAW2026R01377	corpus_disposition
SURF-CAW2026R01378	corpus_disposition
SURF-CAW2026R01379	corpus_disposition
SURF-CAW2026R01380	corpus_disposition
SURF-CAW2026R01381	corpus_disposition
SURF-CAW2026R01382	corpus_disposition
SURF-CAW2026R01383	corpus_disposition
SURF-CAW2026R01384	corpus_disposition
SURF-CAW2026R01385	corpus_disposition
SURF-CAW2026R01386	corpus_disposition
SURF-CAW2026R01387	corpus_disposition
SURF-CAW2026R01388	corpus_disposition
SURF-CAW2026R01396	corpus_disposition
SURF-CAW2026R01400	corpus_disposition
SURF-CAW2026R01406	corpus_disposition
SURF-CAW2026R01410	corpus_disposition
SURF-CAW2026R01411	corpus_disposition
SURF-CAW2026R01412	corpus_disposition
SURF-CAW2026R01413	corpus_disposition
SURF-CAW2026R01414	corpus_disposition
SURF-CAW2026R01415	corpus_disposition
SURF-CAW2026R01416	corpus_disposition
SURF-CAW2026R01417	corpus_disposition
SURF-CAW2026R01418	corpus_disposition
SURF-CAW2026R01419	corpus_disposition
SURF-CAW2026R01430	corpus_disposition
SURF-CAW2026R01431	corpus_disposition
SURF-CAW2026R01432	corpus_disposition
SURF-CAW2026R01433	corpus_disposition
SURF-CAW2026R01434	corpus_disposition
SURF-CAW2026R01435	corpus_disposition
SURF-CAW2026R01436	corpus_disposition
SURF-CAW2026R01471	corpus_disposition
SURF-CAW2026R01472	corpus_disposition
SURF-CAW2026R01473	corpus_disposition
SURF-CAW2026R01477	corpus_disposition
SURF-CAW2026R01478	corpus_disposition
SURF-CAW2026R01479	corpus_disposition
SURF-CAW2026R01480	corpus_disposition
SURF-CAW2026R01481	corpus_disposition
SURF-CAW2026R01482	corpus_disposition
SURF-CAW2026R01483	corpus_disposition
SURF-CAW2026R01484	corpus_disposition
SURF-CAW2026R01488	corpus_disposition
SURF-CAW2026R01496	corpus_disposition
SURF-CAW2026R01514	corpus_disposition
SURF-CAW2026R01515	corpus_disposition
SURF-CAW2026R01516	corpus_disposition
SURF-CAW2026R01517	corpus_disposition
SURF-CAW2026R01519	corpus_disposition
SURF-CAW2026R01520	corpus_disposition
SURF-CAW2026R01533	corpus_disposition
SURF-CAW2026R01535	corpus_disposition
SURF-CAW2026R01536	corpus_disposition
SURF-CAW2026R01537	corpus_disposition
SURF-CAW2026R01538	corpus_disposition
SURF-CAW2026R01542	corpus_disposition
SURF-CAW2026R01566	corpus_disposition
SURF-CAW2026R01567	corpus_disposition
SURF-CAW2026R01568	corpus_disposition
SURF-CAW2026R01569	corpus_disposition
SURF-CAW2026R01570	corpus_disposition
SURF-CAW2026R01571	corpus_disposition
SURF-CAW2026R01573	corpus_disposition
SURF-CAW2026R01574	corpus_disposition
SURF-CAW2026R01575	corpus_disposition
SURF-CAW2026R01580	corpus_disposition
SURF-CAW2026R01584	corpus_disposition
SURF-CAW2026R01585	corpus_disposition
SURF-CAW2026R01592	corpus_disposition
SURF-CAW2026R01597	corpus_disposition
