model_id	variant_id	k	object_count	query_count	mean	variance	skewness	gini	top1_percent_occurrence_share	maximum_occurrence	zero_occurrence_object_count	total_occurrence_count
M5	M5-GOWER-MISSING-A	10	7995	7995	10	573.6217636022515	7.2609755278544394	0.7097048694833896	0.2039524702939337	373	2369	79950
M5	M5-GOWER-MISSING-A	20	7995	7995	20	1545.910444027517	5.856068813774322	0.6725665642339784	0.1503564727954972	578	1675	159900
M5	M5-GOWER-MISSING-A	50	7995	7995	50	7288.810256410256	5.750989197509894	0.623506745499552	0.13147217010631645	1183	940	399750
M5	M5-GOWER-MISSING-B	10	7995	7995	10	573.6217636022515	7.2609755278544394	0.7097048694833896	0.2039524702939337	373	2369	79950
M5	M5-GOWER-MISSING-B	20	7995	7995	20	1545.910444027517	5.856068813774322	0.6725665642339784	0.1503564727954972	578	1675	159900
M5	M5-GOWER-MISSING-B	50	7995	7995	50	7288.810256410256	5.750989197509894	0.623506745499552	0.13147217010631645	1183	940	399750
M5	M5-GOWER-MISSING-C	10	7995	7995	10	573.6217636022515	7.2609755278544394	0.7097048694833896	0.2039524702939337	373	2369	79950
M5	M5-GOWER-MISSING-C	20	7995	7995	20	1545.910444027517	5.856068813774322	0.6725665642339784	0.1503564727954972	578	1675	159900
M5	M5-GOWER-MISSING-C	50	7995	7995	50	7288.810256410256	5.750989197509894	0.623506745499552	0.13147217010631645	1183	940	399750
M5	M5-GOWER-MISSING-D	10	7995	7995	10	573.6217636022515	7.2609755278544394	0.7097048694833896	0.2039524702939337	373	2369	79950
M5	M5-GOWER-MISSING-D	20	7995	7995	20	1545.910444027517	5.856068813774322	0.6725665642339784	0.1503564727954972	578	1675	159900
M5	M5-GOWER-MISSING-D	50	7995	7995	50	7288.810256410256	5.750989197509894	0.623506745499552	0.13147217010631645	1183	940	399750
M6	M6-TVERSKY-A0.50-B0.50	10	7995	7995	10	573.6207629768605	7.2609954555902165	0.709700542200977	0.2039524702939337	373	2369	79950
M6	M6-TVERSKY-A0.50-B0.50	20	7995	7995	20	1545.898186366479	5.8561407979812845	0.6725541064791511	0.1503564727954972	578	1675	159900
M6	M6-TVERSKY-A0.50-B0.50	50	7995	7995	50	7288.954596622889	5.750819886287293	0.6235252354798047	0.13147217010631645	1183	940	399750
M6	M6-TVERSKY-A1.00-B1.00	10	7995	7995	10	573.6217636022515	7.2609755278544394	0.7097048694833896	0.2039524702939337	373	2369	79950
M6	M6-TVERSKY-A1.00-B1.00	20	7995	7995	20	1545.910444027517	5.856068813774322	0.6725665642339784	0.1503564727954972	578	1675	159900
M6	M6-TVERSKY-A1.00-B1.00	50	7995	7995	50	7288.810256410256	5.750989197509894	0.623506745499552	0.13147217010631645	1183	940	399750
M6	M6-TVERSKY-A0.80-B0.20	10	7995	7995	10	573.6172607879924	7.261063810392983	0.7096862743717638	0.2039524702939337	373	2369	79950
M6	M6-TVERSKY-A0.80-B0.20	20	7995	7995	20	1545.8961851156973	5.856153503125962	0.6725506928384337	0.1503564727954972	578	1675	159900
M6	M6-TVERSKY-A0.80-B0.20	50	7995	7995	50	7288.945841150719	5.750831514372493	0.6235228356058997	0.13147217010631645	1183	940	399750
M6	M6-TVERSKY-A0.60-B0.40	10	7995	7995	10	573.618511569731	7.2610386955109085	0.7096925228048643	0.2039524702939337	373	2369	79950
M6	M6-TVERSKY-A0.60-B0.40	20	7995	7995	20	1545.898186366479	5.8561407979812845	0.6725541064791511	0.1503564727954972	578	1675	159900
M6	M6-TVERSKY-A0.60-B0.40	50	7995	7995	50	7288.954596622889	5.750819886287293	0.6235252354798047	0.13147217010631645	1183	940	399750
M7	M7-BM25F-QUERY	10	7995	7995	10	3087.6475297060665	24.12722303248281	0.8219199945556968	0.31365853658536585	1633	4134	79950
M7	M7-BM25F-QUERY	20	7995	7995	20	5586.616635397123	16.12674747412976	0.7446896993547796	0.26864915572232645	1653	3098	159900
M7	M7-BM25F-QUERY	50	7995	7995	50	14242.323702313946	9.115574143390862	0.6508798605757742	0.2112795497185741	1676	2043	399750
