production_composition_id	participant_arity	round16b_candidate_ids_json	state_count	state_id_set_sha256	transition_count_by_current_state	transition_id_set_sha256	workflow_count	workflow_id_set_sha256	export_count	export_id_set_sha256	partition_status	semantic_carry_forward_authorized
R16A-PCOMP-0982F9DC5A044913F785	2	[]	8	d38216c064744b508153f703983b3a016252252a4ef8a333ad7458f3125edbe8	208	0dce57e132c2b60c3f8e7e62f9b727c6763a16b0a294b6d0b5aa4dbe0d6542b1	8	b3f2753fdde4b81c39317ece42a5e3123fa624b3491ac9c7e857ca2acdef0999	16	7b5430b9e1ca51389d84e9d9df82c597b8e173371c16a77e7afe733f07c8793e	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0CA416B8A56B0BCCD5E4	3	"[""R16B-LOCAL-FAMILY:83009b1d124d4635a57866eeffba5e1a1a33e499bd60b30c6346b94ff1a04f8e""]"	24	dd2adc4ded89871d92ab10c1390d4a08840cf04d0ea93e4327ebfa83b168e56f	1948	eebf9bf37eab9378d7585b519e511d562a6edbf7b35734f96a343a9f69ebeb19	24	9f0e853e363e46f1d11ec8af5823bd87970d673ffaffe1cd0a2f80d522d6dc2d	48	dcc9d0c727120267477fb854b5345f6dce1d46373c8fd3f4c8339ead8c640480	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0CC893F86B628A11B34E	4	"[""R16B-LOCAL-FAMILY:89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a""]"	64	342c2834ebb0a610596f376724158212da980fb86fa37440f34b058fca215972	9996	dbb8df91bdc08ad427ed0626425a94a8f29a32ed65d115677ce89de77424ac95	64	2cd1b47190e217fb1ea3c7f2ae84482e4ef41b9ef60615f7dc8adb5d36e79864	128	af2bae4aebf380ecc05f9f75dd2a411c40c7d27afad503fe5b911d81797e3b95	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0D79DD06BB12234D961D	3	"[""R16B-LOCAL-FAMILY:1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a""]"	24	51e4565a781432d1a725ba5f5fc1b1e91e3f25233069fceee0c19f97a390cc6c	1948	4fe1573f4f319d6487fdf5a5d079128d49dc072b60fdf8162db8dff5c604b385	24	cdd699d6f6120c20b32ef386ec592323333e497982bbdfe37936adfc91c165f3	48	1f19ab3b3a6efcabf416053a3914b6f3eaf8235fd34102a34429a60d9daf61f9	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0D9983B15D906D9075FF	4	"[""R16B-LOCAL-FAMILY:89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a""]"	64	6e52a9eb2d4d8c3e28952d2e19b0bd2a8a6c1770f25f5a1add25b2ffc558ccd5	9996	3a5a49a7dd56c9eeeb612e77f7381e26481c331433d10c49faf3087ba5574d24	64	d7c50b72f6f91db0e98dc68b56cddd3e9e8dc89acdcc010b82b96b3445e6f341	128	0ecf7d8c3d00d56e31c682e6ecbfec1a000ac4f067123a5336bbf67de4b8d617	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0DBFCDB9B61C54D15FB7	3	"[""R16B-LOCAL-FAMILY:1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a""]"	24	fc35038adaa2b94d35d6e4290b2a184bbcad5c54d91bd0463ea49c611237214d	1948	50323981fabff507f2c9a321e071bff9dca241869b5f56bac144245244a4634a	24	04381dfd9201bad08beb989de95f4b8aebdbeffc015c2966ae64847300dc0b16	48	270f2a432225c5ee71a0e46a8d6bfd4cfdfffd03ccb3108822ddc818224e8c56	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0E83581BA86AA46106A8	3	"[""R16B-LOCAL-FAMILY:af25d1d4c93f79886769d53d071805bd5b6726130b153e4484121321d1122e3a""]"	24	6a767aacc02f7fba3fd8793ca115c0c0b47f2009a8e2ada803b574aa39fda6ae	3700	31805f777117b4904c5a04ea1a3abf10e0903bdd9ee73b6cff8c38e6cd2a1079	24	0c5ce7686a7f6ef860bceeb58c02b35a4a3f80ec4233564a34d2680c2e36f262	48	33a7ee5028dd835eaff33df720f1002b93258ca685dcaf7352a802eb3a05f7b8	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0ECC32306DA6BB14E956	2	[]	8	4255676ad88b6b1c43c390a8ec9003a75bcce5aeecd8f090557b0e995d4bfc55	120	fe01c117f50ba12bb3fb6b197c13c0df53c9fe72e6d23abdd774e542091cea3b	8	472975e4652b0aafe969c19ebe786a4018ce1ac3637aeba9473875cddf4df390	16	ace26c33ef5d09818575950a0484cdc107f50a92584f8c5dc1659bd8d7d0fcf1	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0ED27692FB4AB03E768C	3	"[""R16B-LOCAL-FAMILY:83009b1d124d4635a57866eeffba5e1a1a33e499bd60b30c6346b94ff1a04f8e""]"	24	9b8c22eefe5322b41bc7e0381695c35226172cd8c9942626b6b870edffb3dd65	1948	1fa0aa06e65099ed5ad10315e44b0574af1fc9ed03ab9ee7f3a457202f388622	24	006de995a6a148f7344253e3c0c9939a4dcd4fed437bee125e717fc5282bb1e8	48	e6df4e818db9f9a50edabab1f7af7ee8eba0029e660ccc09d9aaf34b30801d50	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-100E1015334D913EE5FD	2	[]	8	75adb1e49a7c3379e90de19ac73dddd32c20d441e07abda5081bb100e72d1fbb	1216	aebd6b6b4a30fd745468456358f095833cd13afb97e75ad429a2c173bfaf5639	8	d44ba7acdb8623e91866dbb4788bf5e2774f3867415545c7d3bb38c7cc9da51f	16	347379c76a7ad32fae08fd188ee09c51392cf7c1fda77c0c9b13b0d911432d64	COMPLETE_PENDING_ROUND16B_REGENERATION	false
