cluster_id,review_priority,suggestion_type,suggested_label,risk_flags,row_count,source_family_count,sample_surface_ids,sample_titles,recommended_review_action
RG-CLEAN-CLUSTER-0011,P1_medium_review,pending_text_resurface,Vietnam,pending_or_low_signal_source,18,7,SURF-CRG2026R1611; SURF-CRG2026R1612; SURF-CRG2026R1613; SURF-CRG2026R1614; SURF-CRG2026R1753,Việt Cộng anti-USA propaganda leaflet - Warpath 01.jpg | Việt Cộng anti-USA propaganda leaflet - Warpath 02.jpg | Việt Cộng anti-USA propaganda leaflet - Warpath 03.jpg | Việt Cộng anti-USA propaganda leaflet - Warpath 06.jpg | 246th Psy Opns Company soldiers and Vietnamese soldiers load leaflet bombs at Bien Hoa Air Base.jpg,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0012,P1_medium_review,pending_text_resurface,Romania,pending_or_low_signal_source,15,3,SURF-CRG2026R0006; SURF-CRG2026R0068; SURF-CRG2026R0197; SURF-CRG2026R0284; SURF-CRG2026R0295,"Stamp 1974 Romania MiNr3179 pm B002a.jpg | Romania stamp - 1975 - 1,85L - Metrology.jpg | Hamwasser cover 1903 from NLI.jpg | Abraham Feller.JPG | Ipolit Strâmbu - Doina (Eminescu) 1914.png",sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0013,P1_medium_review,pending_text_resurface,Thailand,pending_or_low_signal_source,15,8,SURF-COM1970R058; SURF-COM1970R083; SURF-CRG2026R2151; SURF-ESR1931R045; SURF-ESR1931R049,Thai culture poster.PNG | Thai Cultural Mandate Dress Code c1940 Phibunsongkhram.png | Pudpadnoi 1971.png | ๓ มิถุนายน ๒๕๖๙ | มิวเซียมสยาม (Museum Siam) : home,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0014,P2_low_signal_review,pending_text_resurface,Aotearoa New Zealand,pending_or_low_signal_source; low_signal_field,11,1,SURF-CRG2026R0005; SURF-CRG2026R0102; SURF-CRG2026R0225; SURF-CRG2026R0406; SURF-CRG2026R0553,"The authentic and genuine history of the signing of the Treaty of Waitangi, New Zealand, February 5 and 6, 1840 - Cover. | Reid•Rambles·on·the·Golden·Coast•1886•001•Cover.jpg | New Zealand or Ao-Tea-Roa.jpg | Tutira the story of a New Zealand sheep station (book cover 1921).jpg | Rotorua. Nature's cure, for thermal waters health and recreation.jpg",use_only_as_capture_or_review_hint
RG-CLEAN-CLUSTER-0015,P1_medium_review,pending_text_resurface,Azerbaijan,pending_or_low_signal_source,10,1,SURF-CRG2026R2966; SURF-CRG2026R3964; SURF-CRG2026R3968; SURF-CRG2026R3969; SURF-CRG2026R3970,"Stamps of Azerbaijan, 1998-504.jpg | Stamp of Azerbaijan - 2017 - Colnect 748973 - Novruz.jpeg | Stamp of Azerbaijan - 2017 - Colnect 759961 - Nature of Azerbaijan I - Landscapes.jpeg | Stamp of Azerbaijan - 2017 - Colnect 759962 - Nature of Azerbaijan I - Landscapes.jpeg | Stamp of Azerbaijan - 2017 - Colnect 759963 - Nature of Azerbaijan II - Flora.jpeg",audit_as_large_cluster_before_mapping_topic_vs_source_geography
RG-CLEAN-CLUSTER-0016,P1_date_sensitive_medium,direct_conflict_parse,Brazil,historical_dispute_period,9,1,SURF-CGS2026R0383; SURF-CGS2026R0384; SURF-CGS2026R0444; SURF-CGS2026R0445; SURF-CGS2026R0446,"Reichssporttag des B.D.M. 23 September 1934 - Ludwig HOHLWEIN München Plakat Poster Library of Congress No know copyrigh | Fritz Daum. SA-Sturmfuhrer Horst Wessel Ein Lebensbild von Opfertreue (Ensslin u Laiblin Verlag Reutlingen Germany 1933) | Nazi Germany uniforms etc. Waffen SS camouflage helmet cover Finnmark 1944 MP40 submachine gun stick grenade flashlight  | Nazi Germany uniforms etc. Waffen SS camouflage helmet cover Finnmark 1944 MP40 submachine gun stick grenade flashlight  | Nazi Germany uniforms etc. Waffen SS camouflage, Panzerfaust, poster, Stahlhelm, visor cap, MP40, equipment, grenade, et",sample_dates_then_decide_split_or_modern_country_mapping
RG-CLEAN-CLUSTER-0017,P1_medium_review,pending_text_resurface,Pakistan,pending_or_low_signal_source,9,6,SURF-CRG2026R3035; SURF-CRG2026R3733; SURF-CRG2026R3734; SURF-CRG2026R4053; SURF-NMIIC2026R0378,"Stamp of Indonesia - 1977 - Colnect 258384 - Economic Cooperation with Pakistan.jpeg | Donyaye Varzesh Magazine cover, Issue 1002, 28 September 1991.jpg | Iran vs Pakistan during the Olympic qualifiers, 23 September 1991.jpg | From East Pakistan To Bangladesh Book back cover.jpg | Alliance Française de Karachi",sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0018,P1_medium_review,pending_text_resurface,Nepal,pending_or_low_signal_source,8,4,SURF-CRG2026R0535; SURF-CRG2026R1416; SURF-CRG2026R1417; SURF-CRG2026R1631; SURF-CRG2026R1676,"Buddha dharma magazine cover 1929.jpg | Swayambhunath art detail, from- Thaunkanhay magazine cover 1951 (cropped).jpg | Thaunkanhay magazine cover 1951.jpg | Kesar lore 1961.jpg | Aama (film poster).png",sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0019,P1_medium_review,pending_text_resurface,Ukraine,pending_or_low_signal_source,8,2,SURF-CPB2026R0018; SURF-CRG2026R1646; SURF-CRG2026R1820; SURF-CRG2026R1965; SURF-CRG2026R2155,Stamp of Ukraine s1970.jpg | Stamp of Ukraine s1963.jpg | Stamp of Ukraine s1969 — 1972.jpg | Stamp of Ukraine s1971.jpg | Stamp of Ukraine s1972.jpg,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0020,P2_low_signal_review,pending_text_resurface,France,pending_or_low_signal_source; low_signal_field,8,2,SURF-CRG2026R0911; SURF-CRG2026R0937; SURF-CRG2026R0938; SURF-CRG2026R0939; SURF-CRG2026R0940,"Affiche ConfédéEvadés espagne Manana.jpg | Royal Air Force Bomber Command, 1939-1941 C837.jpg | Royal Air Force Bomber Command, 1939-1941. C496.jpg | Royal Air Force Bomber Command, 1939-1941. C826.jpg | Royal Air Force Bomber Command, 1939-1941. C835.jpg",use_only_as_capture_or_review_hint
RG-CLEAN-CLUSTER-0021,P2_low_signal_review,direct_conflict_parse,Aotearoa New Zealand,,6,1,SURF-GAPIT2026R003; SURF-GAPIT2026R004; SURF-GAPIT2026R011; SURF-GAPIT2026R024; SURF-GAPIT2026R041,"Poster, 'A British Anti-aircraft Battery in action' | Poster, 'British Troops in Battle Manoeuvres' | Poster, 'Great Britain will pursue' | Poster, 'Stop French N Tests' | Poster, 'To the French Government'",manual_review_only
RG-CLEAN-CLUSTER-0022,P1_medium_review,pending_text_resurface,Ireland,pending_or_low_signal_source,5,1,SURF-CRG2026R0697; SURF-CRG2026R0720; SURF-CRG2026R1381; SURF-CRG2026R1398; SURF-CRG2026R2229,Ireland68bmint.jpg | Stamp-Irl 1934 GAA Golden Jubilee.jpg | Ireland 1957 Birth Centenary of Tomas O'Crohan.jpg | Tostal 2 half stamp.gif | HULA (Home for Unwanted and Lost Animals) Apsley Guise - geograph.org.uk - 1439012.jpg,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0023,P2_low_signal_review,direct_conflict_parse,Palestinian territories and diaspora,sensitive_or_historical_label,5,2,SURF-CRG2026R0608; SURF-SCG1931R0013; SURF-SCG1931R0014; SURF-SCG1931R0015; SURF-SCG1931R0016,"Irl FFC Oct 1931 ImpAir London-Tiberius.jpg | Exploring Palestinian Resistance and Anti-Imperialist Solidarity through the Lens of Media | Qaem | Hizbullah's Ashura Posters (2007-2020) the Visualization of Religion, Politics and Nationalism | People Places: New Student Designs on the Neighborhood Exhibition - University City Interface",manual_review_only
RG-CLEAN-CLUSTER-0024,P2_low_signal_review,pending_text_resurface,Canada,pending_or_low_signal_source; low_signal_field,5,2,SURF-CRG2026R1224; SURF-CRG2026R2887; SURF-CRG2026R2944; SURF-CRG2026R4032; SURF-ERS1970R001,"Trans-Canada Express film poster 1944.jpg | A Candid View of the Fur Industry, by Arthur C. Prentice (book cover and contents).jpg | Michael Byron, Pieces, An Anthology, backcover (1976).jpg | Sial Pottery Brochure page 1.jpg | Darius Ou - Another Graphic",use_only_as_capture_or_review_hint
RG-CLEAN-CLUSTER-0025,P1_medium_review,pending_text_resurface,Myanmar,pending_or_low_signal_source,4,3,SURF-CRG2026R0619; SURF-CRG2026R1544; SURF-NMSP2026R0054; SURF-NMSP2026R0118,Ngwe Pay Lo Ma Ya film poster.jpg | Bawa Than Tha Yar poster.jpg | National Library of Myanmar (Yangon) | Myanmar Photo Archive – Myanmar Photo Archive,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0026,P1_medium_review,pending_text_resurface,Armenia,pending_or_low_signal_source,3,2,SURF-CRG2026R3963; SURF-NMIIC2026R0164; SURF-NMIIC2026R0165,Stamp of Armenia - 2017 - Colnect 746033 - Ց • ց C o.jpeg | Military History Museum of . Museum in c. Yerevan | Mus.am | «Zoravar Andranik» Museum Dedicated to Fidai Movement. Museum in c. Yerevan | Mus.am,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0027,P1_medium_review,pending_text_resurface,Central Asia,pending_or_low_signal_source,3,3,SURF-NMIIC2026R0146; SURF-NMIIC2026R0150; SURF-NMSP2026R0094,Erdenesiin Khuree / Arts & Mongolian Calligraphy Center in Kharkhorin | National Museum of Mongolia | The National Library of Mongolia x_018_image,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0028,P1_medium_review,pending_text_resurface,Hungary,pending_or_low_signal_source,3,1,SURF-COM1970R057; SURF-CPB2026R0044; SURF-CRG2026R1518,"Poster Fortepan 18332.jpg | Váci út 81-85., Öntödei Vállalat Acélöntő és Csőgyára. Fortepan 88926.jpg | Vörös János emléktábla (2016), Móricz Zsigmond Általános Iskola, 2017 Dunaújváros.jpg",sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0029,P1_medium_review,pending_text_resurface,Portugal,pending_or_low_signal_source,3,1,SURF-CPB2026R0001; SURF-CPB2026R0002; SURF-CRG2026R0677,"1934 Gado Bravo António Lopes Ribeiro.jpg | 1935 As Pupilas do Senhor Reitor Perdigao Queiroga.jpg | Slot Ter Hooge, Naufrágio na Baía do Guilherme - 2018 - Image 229479.jpg",sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0030,P1_medium_review,pending_text_resurface,Senegal,pending_or_low_signal_source,3,3,SURF-NMIIC2026R0124; SURF-NMIIC2026R0125; SURF-NMSP2026R0010,Guide complet de Melbet Sénégal 2026 | Centre culturel régional de Dakar Blaise Senghor - Centre Culturel Régional Dakar | Archives du Sénégal |,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0031,P1_medium_review,pending_text_resurface,South Korea,pending_or_low_signal_source,3,3,SURF-CRG2026R0189; SURF-IAC1990R012; SURF-NMSP2026R0093,Arirang 1957 poster.jpg | Juhyeok Kim | error page,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0032,P1_medium_review,pending_text_resurface,Spain,pending_or_low_signal_source,3,3,SURF-CHW2026R019; SURF-COM1970R004; SURF-MC1930R059,Torero and Bull | Cartel Colombinas Huelva 0002.jpg | Exhibition Poster,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0033,P2_low_signal_review,direct_conflict_parse,Mainland China,,3,1,SURF-CGS2026R0003; SURF-CGS2026R0011; SURF-CRG2026R0536,"Anti-Japan poster in Shanghai circa 1930.jpg | Chinese anti-Japanese poster published after the revenge by Koreans.jpg | Beauty and grandeur, the Yangtze gorges, travel poster, ca. 1930.jpg",manual_review_only
RG-CLEAN-CLUSTER-0034,P2_low_signal_review,pending_text_resurface,Germany,pending_or_low_signal_source; low_signal_field,3,2,SURF-CRG2026R0230; SURF-CRG2026R0965; SURF-IR1970R047,"Münster, LWL-Museum für Kunst und Kultur, Blick auf den Dom -- 2020 -- 8290.jpg | Geschichte des byzantinischen Staates, Georg Ostrogorsky (1940).png | Onwards to victory.",use_only_as_capture_or_review_hint
RG-CLEAN-CLUSTER-0035,P2_low_signal_review,pending_text_resurface,Ireland,pending_or_low_signal_source; low_signal_field,3,1,SURF-CRG2026R0492; SURF-CRG2026R0588; SURF-CRG2026R2402,Ireland 1930 TPO +Late Fee to Dublin C1.jpeg | Ireland 1931 Royal Dublin Society 2d.jpg | Robert Ballagh - first stamp - 1973 - World Met Org.jpg,use_only_as_capture_or_review_hint
RG-CLEAN-CLUSTER-0036,P1_date_sensitive_medium,direct_conflict_parse,Argentina,historical_dispute_period,2,1,SURF-CGS2026R0176; SURF-CGS2026R0177,Stamp of Aegean Islands - 1940 - Colnect 174249 - Triennial of Italy s overseas possessions.jpeg | Stamp of Aegean Islands - 1940 - Colnect 174250 - Triennial of Italy s overseas possessions.jpeg,sample_dates_then_decide_split_or_modern_country_mapping
RG-CLEAN-CLUSTER-0037,P1_date_sensitive_medium,direct_conflict_parse,France,historical_dispute_period,2,2,SURF-GA1970R083; SURF-MC1930R056,"Archives de Julien Cain relatives à l'exposition internationale des Arts et des Techniques dans la Vie moderne de Paris  | The Kiss (Poster for Man Ray exhibition, Julien Levy Gallery)",sample_dates_then_decide_split_or_modern_country_mapping
RG-CLEAN-CLUSTER-0038,P1_medium_review,pending_text_resurface,Bulgaria,pending_or_low_signal_source,2,1,SURF-COM1970R104; SURF-CRG2026R1962,Echinococcosis agitation material 1960s.jpg | 1971 knigi001 a.JPG,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0039,P1_medium_review,pending_text_resurface,Cambodia,pending_or_low_signal_source,2,2,SURF-NMIIC2026R0381; SURF-NMIIC2026R0387,Open Development Cambodia (ODC) | Cambodian Landmine Museum Relief Fund,sample_5_to_10_then_promote_rules_if_consistent
