group_type,group_value,records_total,source_visible_count,source_visible_rate,publication_grade_count,publication_grade_rate,weighted_publication_score,weighted_publication_rate,open_image_count,open_image_rate,rights_labeled_count,rights_labeled_rate,unclear_image_state_count,unclear_image_state_rate,anchor_image_available_count,anchor_image_available_rate,duplicate_image_url_records,duplicate_image_url_rate,img00_count,img01_count,img02_count,img03_count,img04_count
source_name,The Met Open Access,15,0,0.00,0,0.00,0.00,0.00,0,0.00,15,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,15
source_name,Smithsonian Open Access,12,12,100.00,12,100.00,10.80,90.00,12,100.00,12,100.00,0,0.00,12,100.00,0,0.00,0,0,0,12,0
source_name,Chinese Posters,11,11,100.00,0,0.00,0.00,0.00,0,0.00,11,100.00,0,0.00,0,0.00,0,0.00,11,0,0,0,0
source_name,Malaysia Design Archive,11,10,90.91,10,90.91,5.50,50.00,0,0.00,11,100.00,0,0.00,10,90.91,0,0.00,0,0,10,0,1
source_name,Auckland Libraries Heritage Collections / CONTENTdm,10,8,80.00,8,80.00,6.15,61.50,0,0.00,10,100.00,0,0.00,8,80.00,0,0.00,0,0,3,5,2
source_name,Asian Film Archive,8,8,100.00,8,100.00,4.40,55.00,0,0.00,8,100.00,0,0.00,8,100.00,0,0.00,0,0,8,0,0
source_name,Design Reviewed,8,8,100.00,8,100.00,4.40,55.00,0,0.00,8,100.00,0,0.00,8,100.00,0,0.00,0,0,8,0,0
source_name,Letterform Archive,8,8,100.00,8,100.00,4.40,55.00,0,0.00,8,100.00,0,0.00,8,100.00,0,0.00,0,0,8,0,0
source_name,University of Cape Town Digital Collections,8,8,100.00,8,100.00,4.40,55.00,0,0.00,8,100.00,0,0.00,8,100.00,0,0.00,0,0,8,0,0
source_name,NDL Search / National Diet Library,6,0,0.00,0,0.00,0.00,0.00,0,0.00,6,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,6
source_name,University of Washington Digital Collections / CONTENTdm,6,6,100.00,6,100.00,3.65,60.83,0,0.00,6,100.00,0,0.00,6,100.00,0,0.00,0,0,5,1,0
source_name,Los Angeles Public Library Tessa / CONTENTdm,5,5,100.00,5,100.00,2.75,55.00,0,0.00,5,100.00,0,0.00,5,100.00,0,0.00,0,0,5,0,0
source_name,Malaysian Design Archive,5,0,0.00,0,0.00,0.00,0.00,0,0.00,5,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,5
source_name,National Repository of Nigeria,5,0,0.00,0,0.00,0.00,0.00,0,0.00,5,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,5
source_name,University of Miami Libraries Digital Collections / CONTENTdm,5,5,100.00,5,100.00,2.75,55.00,0,0.00,5,100.00,4,80.00,5,100.00,0,0.00,0,0,5,0,0
