source_family,surface_count,current_main_count,packet_member_count,candidate_anchor_count,card_or_support_count,top_regions,top_periods,notes
East Asian Graphics Archive,1,0,0,0,1,East Asia,undated,
Fine Arts Department Thailand,1,0,0,0,1,Thailand,undated,
Fundacion IDA,1,0,0,0,1,Argentina,undated,
Ginza Graphic Gallery,1,0,0,0,1,Japan,1970_1989,
Grafis Nusantara,1,0,0,0,1,Indonesia,undated,
Hong Kong Heritage Project,1,0,0,0,1,China / Hong Kong,undated,
Hong Kong Memory,1,0,0,0,1,China / Hong Kong,undated,
Indonesian Visual Art Archive,1,0,0,0,1,Indonesia,undated,
JAGDA,1,0,0,0,1,Japan,1970_1989,
Khastara Perpusnas Indonesia,1,0,0,0,1,Indonesia,undated,
Korean Film Archive,1,0,0,0,1,Korean Peninsula,undated,
Kramerius Registry,1,0,0,0,1,Czech and Slovak contexts,undated,
Kyoto ddd gallery,1,0,0,0,1,Japan,1990_1999,
M+ Collections,1,0,0,0,1,China / Hong Kong,undated,
Madan Puraskar Pustakalaya,1,0,0,0,1,Nepal,undated,
Memoria Chilena,1,0,0,0,1,Chile,undated,
Museum Siam,1,0,0,0,1,Thailand,undated,
NID Archives and institutional publications,1,0,0,0,1,South Asia,undated,
National Archives of Singapore,1,0,0,0,1,Singapore,undated,
National Digital Library of India,1,0,0,0,1,India,undated,
National Gallery Singapore Collection,1,0,0,0,1,Singapore,undated,
National Library and Archives of Iran,1,0,0,0,1,Iran,undated,
National Library of India,1,0,0,0,1,India,undated,
National Library of Korea,1,0,0,0,1,Korean Peninsula,undated,
National Library of Vietnam,1,0,0,0,1,Vietnam,undated,
National Library of the Philippines,1,0,0,0,1,Philippines,undated,
National Taiwan Museum of Fine Arts,1,0,0,0,1,Taiwan,undated,
NewspaperSG,1,0,0,0,1,Singapore,undated,
Nippon Design Center,1,0,0,0,1,Japan,1946_1969,
Printing Museum Tokyo,1,0,0,0,1,Japan,undated,
Roja Muthiah Research Library,1,0,0,0,1,India,undated,
Roots.sg,1,0,0,0,1,Singapore,undated,
Seoul Design Foundation,1,0,0,0,1,Korean Peninsula,2000_2009,
Shanghai Library,1,0,0,0,1,China / Hong Kong,undated,
Singapore Graphic Archives,1,0,0,0,1,Singapore,undated,
Taiwan Design Research Institute,1,0,0,0,1,Taiwan,1990_1999,
Temple University Libraries Digital Collections,1,1,0,0,0,United States,1990_1999,
Thai Poster Archive,1,0,0,0,1,Thailand,undated,
Thaipography Archive,1,0,0,0,1,Thailand,1990_1999,
Tokyo ADC,1,0,0,0,1,Japan,1946_1969,
Tokyo TDC,1,0,0,0,1,Japan,1970_1989,
UWC Robben Island Mayibuye Archives,1,0,0,0,1,South Africa,undated,
Ukrainian Liberation Movement Archive,1,0,0,0,1,Ukraine,undated,
VietGD,1,0,0,0,1,Vietnam,1990_1999,
Vietnam National Archives,1,0,0,0,1,Vietnam,undated,
Vietnam National Museum of History,1,0,0,0,1,Vietnam,undated,
