source_id,source_name,source_place_text,old_macro_region,old_country_or_region,new_macro_region,new_country_or_region,action,note
NMSS2026R0854,Museo Internacional de la Moneda MILM,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0855,Museo Jaime Duque Grisales - Parque Jaime Duque,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0364,Museo Medardo Pantoja,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0365,Museo Mitre,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0898,"Museo Nacional de Arte Moderno ""Carlos Mérida""",Latin America / Caribbean / Guatemala,Latin America,Guatemala,Latin America,Guatemala,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0370,Museo Nacional del Petróleo,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0858,Museo Naval del Caribe,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0859,Museo Nemqueteba Corporación Cultural de Cucunuba,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0371,Museo Notarial Argentino,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0372,Museo Palacio Dionisi,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0373,Museo Participativo de Ciencias,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
