surface_id,source_record_id,source_record_url,title,best_image_state,repair_family,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,local_rights_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,iiif_or_viewer_available,image_url_detected_excerpt,rights_text_excerpt,rights_basis_excerpt,review_note_excerpt,source_notes_excerpt
SURF-MC1930R016,98518022,https://www.loc.gov/pictures/item/98518022/,"WPA exhibition water colors [and] prints, Federal Art Gallery /",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R016,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98518022/,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05500/3f05569_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R017,98513298,https://www.loc.gov/pictures/item/98513298/,"WPA federal art regional exhibit, Montclair Museum Easel painting, graphic arts, poster display, index of design.",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R017,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98513298/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48805_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Date stamped on verso: Jan 5 1939.; Work Projects Administration Poster Collection (Library of Congress).; Posters of the WPA / Christopher DeNoon. Los Angeles: Wheatly Press, c1987, no. 69"
SURF-MC1930R036,93511160,https://www.loc.gov/pictures/item/93511160/,WPA rumor,IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R036,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/93511160/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48900/3b48902_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R018,98513183,https://www.loc.gov/pictures/item/98513183/,"WPA water colors, prints exhibition, Federal Art Gallery",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R018,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98513183/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48803_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Date stamped on verso: Nov 8 1937.; Work Projects Administration Poster Collection (Library of Congress).; Posters of the WPA / Christopher DeNoon. Los Angeles: Wheatly Press, c1987, no. 36"
SURF-MC1930R019,98513191,https://www.loc.gov/pictures/item/98513191/,"WPA women painters, Federal Art Gallery, 50 Beacon St., Boston",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R019,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98513191/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48804_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Date stamped on verso: Feb 23 1938.; Work Projects Administration Poster Collection (Library of Congress).; Attributed to Russell W. West.; Posters of the WPA / Christopher DeNoon. Los Angeles : Wheatly Press, c1987,..."
SURF-MC1930R037,2017700651,https://www.loc.gov/pictures/item/2017700651/,"WPB (War Production Board) poster. This is the official poster which may be displayed on all construction work costing over five hundred thousand dollars with certain exceptions, to show that the work has been authorized by the WPA (Work Projects Administration)",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R037,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2017700651/,https://tile.loc.gov/storage-services/service/pnp/fsa/8b12000/8b12900/8b12980_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,Actual size of negative is B (approximately 5 x 7 inches).; Title and other information from caption card.; Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.;...
SURF-MC1930R020,98514973,https://www.loc.gov/pictures/item/98514973/,"Who's who in the zoo Illustrated natural history prepared by the WPA Federal Writers Project : On sale at all book stores, zoos, and museums.",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R020,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98514973/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48858_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Date stamped on verso: Jun 4 1937.; Work Projects Administration Poster Collection (Library of Congress).; Attributed to Sidney Jacobson.; Posters of the WPA / Christopher DeNoon. Los Angeles : Wheatly Press, c1987,..."
SURF-MC1930R021,2005682800,https://www.loc.gov/pictures/item/2005682800/,Work Projects Administration poster collection (Library of Congress),IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R021,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2005682800/,https://www.loc.gov/pictures/static/images/item/grouprecord_thumb_large.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Arrangement: Organized as one filing series called POS - WPA; Arrangement: the arrangement is alphabetical by state name, then by artist (with unidentified artists filed as…; Collection title devised by Library staff.;..."
SURF-ER1830R017,2014646356,https://www.loc.gov/pictures/item/2014646356/,"[Advertising card for play ""Deacon Crankett""]",IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R017,data/capture_batch_early_region_1830_1930_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2014646356/,https://tile.loc.gov/storage-services/service/pnp/ds/05500/05515_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-ER1830R019,2015651615,https://www.loc.gov/pictures/item/2015651615/,"[Santa with toys in a sleigh, drawn by reindeer, with a church on the right and another in the distance]",IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R020,data/capture_batch_early_region_1830_1880_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2015651615/,https://tile.loc.gov/storage-services/service/pnp/ppmsca/40200/40208_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
