geographyId,label,class,mappingState,transnational,broadRegion,historical,total_public_records,period_assignments,active_period_count,longest_consecutive_run,substantive_period_count,longest_substantive_run,first_active_period,last_active_period,year_min,year_max,median_records_per_active_period,peak_period,peak_period_records,peak_period_concentration_pct,off_peak_records,max_share_of_period_pct,periods_at_rank_1,periods_in_top_3,precise_records,precise_share_pct,approximate_records,range_records,source_count,top_source,top_source_share_pct,outside_top_source_records,reader_facing_records,reader_facing_share_pct,visual_route_records,visual_route_share_pct,flags,decision,reason_codes,records_by_period,share_by_period_pct,rank_by_period
SPTGEO:6b72316abd62365a8dd10472732bdde8860b5d384cd518a24154a027c80a8c33,Vanuatu,country,mapped,False,False,False,18,18,3,3,2,2,2000s,2020s,2003,2024,6,2010s,11,61.1,7,3.8,0,0,18,100.0,0,0,1,www.spc.int,100.0,0,18,100.0,18,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|11|6,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|3.1|3.8,||||||||||||||||||||36|8|9
SPTGEO:d5a06cfffcd202ced26cf7a7ff8d518947ebbe3adf448cdb17fc3018919a2884,India,country,mapped,False,False,False,14,14,1,1,1,1,1960s,1960s,1965,1969,14,1960s,14,100.0,0,1.0,0,0,14,100.0,0,0,2,www.loc.gov,92.9,1,14,100.0,14,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|0|0|0|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0,||||||||||||||||25||||||
SPTGEO:16b1cfb38f72a39251e3e9cfbd021bc4df8072dbf978126047733f95ba1678bf,Australia,country,mapped,False,False,False,13,13,3,2,1,1,1960s,2000s,1965,2009,2,1960s,10,76.9,3,0.7,0,0,13,100.0,0,0,2,www.loc.gov,92.3,1,13,100.0,13,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|2|0|0|1|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7|0.2|0.0|0.0|0.2|0.0|0.0,||||||||||||||||29|33|||30||
SPTGEO:f47cc869fdb67249b797b76586ad8ec15bef1fd725ecf97f9b8d42fd3c6f8885,Korean Peninsula,transnational,mapped,True,False,False,13,13,4,2,1,1,1940s,2000s,1948,2009,2.5,1960s,7,53.8,6,0.5,0,0,13,100.0,0,0,3,www.loc.gov,76.9,3,13,100.0,13,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF|COMPOSITE_GOVERNED_IDENTITY,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|7|2|0|0|3|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4|0.0|0.5|0.2|0.0|0.0|0.5|0.0|0.0,||||||||||||||20||32|39|||19||
SPTGEO:e945e1fc6af3329a6ad5d6df926d0d0433af60e3264fb9a36ce85cee7b4240af,Solomon Islands,country,mapped,False,False,False,13,13,3,3,1,1,2000s,2020s,2006,2026,4,2020s,8,61.5,5,5.0,0,0,13,100.0,0,0,1,www.spc.int,100.0,0,13,100.0,13,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|8,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|1.1|5.0,||||||||||||||||||||41|14|8
SPTGEO:6881e1c18b705e1b91367de42838d3aee9d32ebc2054a1962fd68f282cdc62e4,Cook Islands,territory,mapped,False,False,False,12,12,3,3,1,1,2000s,2020s,2000,2021,4,2000s,5,41.7,7,2.5,0,0,12,100.0,0,0,1,www.spc.int,100.0,0,12,100.0,12,100.0,SOURCE_DOMINANT_75,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|3|4,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.8|0.9|2.5,||||||||||||||||||||13|15|12
SPTGEO:db377095b29f50477c69ddb8bac5925571cee52f5756c78710d73a334e0f4181,Hungary,country,mapped,False,False,False,12,12,3,2,1,1,1960s,2000s,1965,2000,2,1970s,9,75.0,3,0.8,0,0,12,100.0,0,0,2,www.loc.gov,91.7,1,12,100.0,12,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|9|0|0|1|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1|0.8|0.0|0.0|0.2|0.0|0.0,||||||||||||||||44|24|||39||
SPTGEO:6b4772a58826fc11f036001465bee3c2701b11373c121d2dd324c680d0aa8796,Ghana,country,mapped,False,False,False,11,11,1,1,1,1,2000s,2000s,2002,2002,11,2000s,11,100.0,0,1.7,0,0,11,100.0,0,0,1,artgallery.yale.edu,100.0,0,11,100.0,11,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.7|0.0|0.0,||||||||||||||||||||6||
SPTGEO:c6a9e1434afffd226f03c1bc63d20249b7ac78e513d088a284fa6982ef3c626f,Spain,country,mapped,False,False,False,10,10,3,1,1,1,1890s,1960s,1896,1965,3,1890s,5,50.0,5,2.4,0,0,8,80.0,2,0,3,digitaltmuseum.no,50.0,5,10,100.0,9,90.0,PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|5|0|0|0|0|3|0|2|0|0|0|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.4|0.0|0.0|0.0|0.0|1.1|0.0|0.1|0.0|0.0|0.0|0.0|0.0|0.0,|||||||||7|||||11||42||||||
SPTGEO:39807c984138033ff3386bdf4042262bb41c6f9f50eb7509696df4f8894ff7ad,Ukraine,country,mapped,False,False,False,10,10,3,1,1,1,1920s,1990s,1920,1990,1,1990s,8,80.0,2,1.8,0,0,10,100.0,0,0,2,artgallery.yale.edu,80.0,2,10,100.0,10,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|8|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4|0.0|0.0|0.0|0.1|0.0|0.0|1.8|0.0|0.0|0.0,||||||||||||14||||49|||5|||
