macro_region,country_or_region,successful_sources,source_classes,protocols
East Asia,Taiwan,17,museum:16; art gallery:1,(none detected):9; Static JS App:2; RSS/Atom:2; RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; RSS/Atom;JSON-LD:1
Eastern Europe / Caucasus,Albania,19,museum:10; library:7; archives:2,Static JS App;PDF:3; RSS/Atom;WordPress REST;Static JS App:3; Static JS App:2; (none detected):2; IIIF;Static JS App:2; RSS/Atom;JSON-LD;WordPress REST;Static JS App:2; RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:1; RSS/Atom;WordPress REST;Static JS App;PDF:1; RSS/Atom;WordPress REST:1; DSpace;RSS/Atom:1; RSS/Atom;JSON-LD:1
Eastern Europe / Caucasus,Armenia,18,museum:15; library:2; cultural center:1,RSS/Atom:3; RSS/Atom;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST:2; (none detected):2; RSS/Atom;JSON-LD:2; RSS/Atom;WordPress REST;PDF:2; IIIF;RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; JSON-LD;WordPress REST:1; JSON-LD:1; IIIF;Static JS App:1; DSpace;RSS/Atom;WordPress REST:1
Eastern Europe / Caucasus,Azerbaijan,15,museum:12; archives:1; library:1; cultural center:1,(none detected):9; RSS/Atom;JSON-LD;WordPress REST:2; JSON-LD:2; WordPress REST:2
Eastern Europe / Caucasus,Belarus,18,museum:15; library:2; archives:1,(none detected):10; RSS/Atom;WordPress REST:2; RSS/Atom;JSON-LD:2; IIIF;PDF:1; PDF:1; RSS/Atom;PDF:1; RSS/Atom:1
Latin America / Caribbean,Argentina,26,museum:15; library:7; archives:4,(none detected):6; JSON-LD:5; RSS/Atom;JSON-LD;WordPress REST:4; IIIF;RSS/Atom;Static JS App:4; PDF:2; RSS/Atom;JSON-LD:2; RSS/Atom;WordPress REST:1; JSON-LD;PDF:1; IIIF;RSS/Atom;JSON-LD:1
Latin America / Caribbean,Barbados,2,museum:1; archives:1,IIIF:1; WordPress REST;PDF:1
Latin America / Caribbean,Belize,1,library:1,RSS/Atom;WordPress REST:1
Latin America / Caribbean,Bolivia,20,library:7; cultural center:5; art gallery:3; museum:3; archives:2,(none detected):5; RSS/Atom;JSON-LD;WordPress REST:4; RSS/Atom;WordPress REST;PDF:2; IIIF;RSS/Atom;JSON-LD:2; RSS/Atom;WordPress REST:2; RSS/Atom;WordPress REST;Static JS App:1; JSON-LD;WordPress REST:1; RSS/Atom:1; RSS/Atom;JSON-LD:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Latin America / Caribbean,Chile,20,library:9; museum:9; archives:1; cultural center:1,(none detected):6; RSS/Atom;JSON-LD;WordPress REST:5; RSS/Atom;WordPress REST:3; RSS/Atom;JSON-LD;WordPress REST;PDF:2; JSON-LD:1; RSS/Atom:1; IIIF;JSON-LD;WordPress REST:1; WordPress REST:1
Latin America / Caribbean,Colombia,2,museum:1; archives:1,JSON-LD:1; RSS/Atom:1
MENA,Bahrain,2,museum:1; library:1,(none detected):1; RSS/Atom;PDF:1
MENA,Iran,12,museum:5; library:5; archives:1; cultural center:1,(none detected):6; JSON-LD:2; RSS/Atom;WordPress REST:2; IIIF:1; WordPress REST:1
MENA,Iraq,7,museum:4; library:3,(none detected):4; RSS/Atom;JSON-LD;WordPress REST:1; PDF:1; RSS/Atom:1
MENA,Jordan,9,museum:5; library:4,RSS/Atom;WordPress REST:3; (none detected):2; RSS/Atom;JSON-LD;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; Static JS App;PDF:1
MENA,Lebanon,25,museum:16; library:4; art gallery:3; archives:1; cultural center:1,(none detected):7; JSON-LD;PDF:5; RSS/Atom;JSON-LD;WordPress REST:3; JSON-LD:2; PDF:2; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; IIIF:1; DSpace;PDF:1; RSS/Atom;JSON-LD:1; RSS/Atom;Static JS App:1; IIIF;JSON-LD:1
MENA,Oman,5,museum:3; library:2,JSON-LD;PDF:2; (none detected):2; RSS/Atom;JSON-LD;PDF:1
MENA,Palestine,11,museum:7; library:3; cultural center:1,(none detected):4; RSS/Atom:3; WordPress REST:1; IIIF;RSS/Atom;Static JS App:1; RSS/Atom;JSON-LD;Static JS App:1; RSS/Atom;WordPress REST:1
Oceania / Indigenous,Fiji,2,museum:1; cultural center:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Oceania / Indigenous,Micronesia,1,archives:1,RSS/Atom;WordPress REST:1
Oceania / Indigenous,Palau,1,archives:1,RSS/Atom;JSON-LD;WordPress REST;PDF:1
Oceania / Indigenous,Tuvalu,1,library:1,(none detected):1
Oceania / Indigenous,Vanuatu,3,museum:2; library:1,JSON-LD;PDF:2; JSON-LD;Static JS App:1
South Asia,Afghanistan,2,cultural center:1; museum:1,(none detected):1; RSS/Atom;JSON-LD;WordPress REST:1
South Asia,Bangladesh,16,museum:10; cultural center:3; library:3,(none detected):6; RSS/Atom;JSON-LD;WordPress REST:2; IIIF;RSS/Atom;JSON-LD;WordPress REST:1; PDF:1; IIIF:1; DSpace;RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; Static JS App;PDF:1; JSON-LD:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; RSS/Atom:1
South Asia,Maldives,1,library:1,Static JS App;PDF:1
South Asia,Nepal,7,museum:4; library:2; art gallery:1,RSS/Atom;JSON-LD;WordPress REST:2; (none detected):2; JSON-LD;Static JS App:1; PDF:1; RSS/Atom;WordPress REST;Static JS App:1
South Asia,Pakistan,13,museum:7; library:3; art gallery:2; cultural center:1,RSS/Atom;WordPress REST:5; RSS/Atom;JSON-LD;WordPress REST:2; RSS/Atom;WordPress REST;Static JS App:2; JSON-LD:1; PDF:1; (none detected):1; RSS/Atom:1
South Asia,Sri Lanka,27,museum:24; library:2; archives:1,RSS/Atom;PDF:11; Static JS App:8; RSS/Atom:2; (none detected):2; PDF:2; RSS/Atom;JSON-LD;WordPress REST:1; JSON-LD:1
Southeast Asia,Brunei,1,archives:1,RSS/Atom:1
Southeast Asia,Cambodia,7,museum:4; cultural center:1; archives:1; library:1,(none detected):2; RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; PDF:1; RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom;WordPress REST:1
Southeast Asia,Laos,3,cultural center:1; museum:1; library:1,RSS/Atom;WordPress REST;PDF:1; IIIF:1; (none detected):1
Southeast Asia,Malaysia,21,museum:11; library:7; archives:2; art gallery:1,RSS/Atom;JSON-LD;WordPress REST:6; (none detected):5; RSS/Atom;PDF:4; RSS/Atom:2; JSON-LD:1; RSS/Atom;WordPress REST:1; RSS/Atom;WordPress REST;Static JS App:1; RSS/Atom;JSON-LD:1
Southeast Asia,Myanmar,3,cultural center:1; archives:1; library:1,RSS/Atom;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST:1
Southeast Asia,Philippines,16,museum:13; library:3,RSS/Atom;WordPress REST:5; (none detected):3; JSON-LD:2; PDF:1; Static JS App:1; RSS/Atom;WordPress REST;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; RSS/Atom;JSON-LD:1
Southeast Asia,Singapore,20,museum:13; library:4; cultural center:2; art gallery:1,(none detected):10; Static JS App:3; RSS/Atom;JSON-LD;WordPress REST:2; IIIF;JSON-LD;PDF:1; RSS/Atom;JSON-LD;Static JS App:1; JSON-LD:1; IIIF;RSS/Atom:1; PDF:1
