transition_key	prior_state_hash	action	target_id	next_state_id	next_state_hash	database_snapshot_id	status
095849e989ac22ac60f777e9ad7162b61bdfdc1698c678a2a48a6c0d31d659b4|SELECT_COMPOSITION|R16-COMP-REGION-02	095849e989ac22ac60f777e9ad7162b61bdfdc1698c678a2a48a6c0d31d659b4	SELECT_COMPOSITION	R16-COMP-REGION-02	TRSTATE:b7c004498cff3775a6d432465199bc487792ad9435abb4a12b1438c45afbaf2f	b91aa3e9f7cab81c92ab2e382cf36b9501a2e4239219a2ecb99caaa1b344b2db	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
095849e989ac22ac60f777e9ad7162b61bdfdc1698c678a2a48a6c0d31d659b4|SELECT_COMPOSITION|R16-COMP-REGION-03	095849e989ac22ac60f777e9ad7162b61bdfdc1698c678a2a48a6c0d31d659b4	SELECT_COMPOSITION	R16-COMP-REGION-03	TRSTATE:6017a436944fd445ed15ad0b98945e3e0ec16b6ed84c30fd37bc297486cb8cf3	b37786505f1d57e7cdb592acef666210ccb94a37372777fa2788af38ca9203a1	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b|COLLAPSE_NODE|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	COLLAPSE_NODE	TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	TRSTATE:eb2c9b5eb0ef6027e25b017034d617561f49166514f1918eb892855202eebb0e	599a73cb61d3048dd4b41302783444cfb90bd672d84fe6bffeae3f05784c4768	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b|COLLAPSE_NODE|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	COLLAPSE_NODE	TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	TRSTATE:579f0657f128884881e9bf35ac775fd7648517a7947df76bf7db9882d31e9e4e	71c470987cf8877fc3a6db424c21af1754a1b04d0771b74256537fd500e6d3ae	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b|COLLAPSE_NODE|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	COLLAPSE_NODE	TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	TRSTATE:6e45be755335391c135d6da0959400be708bc4b56414e10875bda37cb83e0767	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b|EXPAND_NODE|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	EXPAND_NODE	TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	TRSTATE:773369eb938c98a49c968e3c8ba765b6a2f468b187eead5603b0a5346317130f	803e9d6c17ab2f07e05eddb2d424be628c189e1312b4e47c886b29da8a9cc1d7	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b|EXPAND_NODE|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	EXPAND_NODE	TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	TRSTATE:f7c45cfe2678d9f307f2396d437cfbe34115fc006bdb8fd771c481a837a4c0d1	ce50a05fa789094f7ad97f093822bcc2c00db9734999634807c83248b4b201c0	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b|EXPAND_NODE|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	EXPAND_NODE	TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	TRSTATE:667f1830eb34e85f17be7accdc0c914905cd74b158f8f00444c2515b8982345b	5567b49aa6c8b4b96205986fb072d38eb7f273464e56a0406bd9c8e4dca51862	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b|EXPORT_CURRENT_STATE|	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	EXPORT_CURRENT_STATE		TRSTATE:6e45be755335391c135d6da0959400be708bc4b56414e10875bda37cb83e0767	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b|FOCUS_NODE|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	0d87dfffda9fde806603d2211bed700138d192f8012fb7e8c690d7cdb05ffd9b	FOCUS_NODE	TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	TRSTATE:773369eb938c98a49c968e3c8ba765b6a2f468b187eead5603b0a5346317130f	803e9d6c17ab2f07e05eddb2d424be628c189e1312b4e47c886b29da8a9cc1d7	v49-api-contract-fresh-c:ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	PASS
